,date,steps,distance,latitude,longitude
148,20161029,4901,3317.0,33.95853237731105,-118.4369816413345
149,20161030,6521,5185.0,33.95853237731105,-118.4369816413345
150,20161031,6534,4688.0,33.95853237731105,-118.4369816413345
151,20161101,9012,7997.0,33.95853237731105,-118.4369816413345
152,20161102,13305,10975.0,29.94348,-90.0662399
153,20161103,13472,11085.0,29.94348,-90.0662399
154,20161104,4649,4571.0,29.94348,-90.0662399
155,20161105,4310,2904.0,33.95853237731105,-118.4369816413345
156,20161106,7600,5003.0,33.95853237731105,-118.4369816413345
157,20161107,4485,3158.0,33.95853237731105,-118.4369816413345
158,20161108,8813,6388.0,33.95853237731105,-118.4369816413345
159,20161109,5096,3816.0,33.95853237731105,-118.4369816413345
160,20161110,6320,4619.0,33.95853237731105,-118.4369816413345
161,20161111,6462,5496.0,33.95853237731105,-118.4369816413345
162,20161112,7812,5373.0,33.95853237731105,-118.4369816413345
163,20161113,11312,8137.0,33.95853237731105,-118.4369816413345
164,20161114,4370,2984.0,33.95853237731105,-118.4369816413345
165,20161115,5037,3596.0,33.95853237731105,-118.4369816413345
166,20161116,8710,6043.0,33.95853237731105,-118.4369816413345
167,20161117,6720,4791.0,33.95853237731105,-118.4369816413345
168,20161118,7537,5480.0,33.95853237731105,-118.4369816413345
169,20161119,6962,4801.0,33.95853237731105,-118.4369816413345
170,20161120,4494,2881.0,33.95853237731105,-118.4369816413345
171,20161121,6036,4372.0,33.95853237731105,-118.4369816413345
172,20161122,8454,5915.0,33.95853237731105,-118.4369816413345
173,20161123,7361,5270.0,33.95853237731105,-118.4369816413345
174,20161124,5070,4949.0,33.95853237731105,-118.4369816413345
175,20161125,6339,4117.0,34.09434,-116.16609
176,20161126,9402,6845.0,34.09434,-116.16609
177,20161127,1335,1218.0,33.95853237731105,-118.4369816413345
178,20161128,3941,2849.0,33.95853237731105,-118.4369816413345
179,20161129,3555,2797.0,33.95853237731105,-118.4369816413345
180,20161130,5348,3863.0,33.95853237731105,-118.4369816413345
181,20161201,3457,2426.0,33.95853237731105,-118.4369816413345
182,20161202,8253,5774.0,33.95853237731105,-118.4369816413345
183,20161203,4791,3167.0,33.95853237731105,-118.4369816413345
184,20161204,10600,7398.0,33.95853237731105,-118.4369816413345
185,20161205,2725,1858.0,44.9741,-93.22949
186,20161206,5727,4485.0,44.9741,-93.22949
